,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
243,diethyl 4-nitrobenzylidene malonate,0,0,0,-17.67,3,DOI: 10.1002/chem.200801277
244,diethyl azodicarboxylate,MeCN,0,0,-10.15,3,DOI: 10.1002/chem.201001598
245,diethyl benzylidene malonate,0,0,0,-20.55,3,DOI: 10.1002/chem.200801277
246,diethyl fumarate,DMSO,0,0,-17.79,3,DOI: 10.1002/ejoc.201301779
247,diethyl maleate,DMSO,0,0,-19.49,3,DOI: 10.1002/ejoc.201301779
248,dihydro-2H-pyran-2-one,DMSO,0,0,-21.80,2,DOI: 10.1039/D0SC06628A
249,diisopropyl azodicarboxylate,MeCN,0,0,-10.71,3,DOI: 10.1002/chem.201001598
250,dimethyl diazomalonate,0,0,0,-18.20,3,DOI: 10.1002/chem.202201376
251,dimethylmethyleneammonium ion,0,0,0,-6.69,1,DOI: 10.1021/ar020094c
252,diphenylallylium ion,,0,0,2.70,3,DOI: 10.1021/jo201668w
253,diphenylcarbodiimide,DMSO,0,0,-20.14,3,DOI: 10.1021/jacs.0c01960
254,diphenyldiazomethane,0,0,0,-21.40,1,DOI: 10.1002/chem.202201376
255,dma(Ph)2QM,0,0,0,-13.39,4,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
256,dma(S)BBS,0,0,0,-10.73,3,DOI: 10.1021/jo071273g
257,dma(t-Bu)2QM,,0,0,-17.29,4,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
258,dmaBBS,0,0,0,-12.76,3,DOI: 10.1021/jo071273g
259,"E)-2,6-di-tert-butyl-4-(3-(4-chlorophenyl)allylidene)cyclohexa-2,5-dien-1-one",DMSO,0,0,-16.84,3,DOI: 10.1021/acs.orglett.0c00338
260,ethenesulfonyl fluoride (ESF),DMSO,0,0,-12.09,3,DOI: 10.1002/anie.201601875
261,ethenylsulfonylbenzene (in DMSO),DMSO,0,0,-18.36,3,DOI: 10.1021/jacs.7b05106
262,ethyl (E)-but-2-enoate (in DMSO),DMSO,0,0,-23.59,2,DOI: 10.1021/jacs.7b05106
263,ethyl 2-methylprop-2-enoate (in DMSO),DMSO,0,0,-22.77,2,DOI: 10.1021/jacs.7b05106
264,ethyl 3-nitro-1H-indole-1-carboxylate,0,0,0,-14.10,2,DOI: 10.1039/d1cc04074j
265,ethyl cinnamate (in DMSO),DMSO,0,0,-24.52,2,DOI: 10.1021/jacs.7b05106
266,ethyl prop-2-enoate (in DMSO),DMSO,0,0,-19.07,3,DOI: 10.1021/jacs.7b05106
267,fc(ani)CH+,0,0,0,-2.90,3,DOI: 10.1021/ar020094c
268,fc(Me)CH+,0,0,0,-2.57,1,DOI: 10.1021/ar020094c
269,fc(Ph)CH+,0,0,0,-2.64,5,DOI: 10.1021/ja010890y
270,fc2CH+,0,0,0,-8.54,3,DOI: 10.1021/ar020094c
271,flavylium ion,0,0,0,-3.45,3,DOI: 10.1021/ar020094c
272,fumaronitrile,DMSO,0,0,-15.71,3,DOI: 10.1002/ejoc.201301779
273,furan-2(5H)-one,DMSO,0,0,-20.70,3,DOI: 10.1039/D0SC06628A
274,hex-3-yn-2-one,0,0,0,-17.90,1,DOI: 10.1002/anie.201909803
275,hexanal (in DMSO),DMSO,0,0,0,1,DOI: 10.1021/ja200820m
276,indolecarboxylate derived iminium ion,dichloromethane,0,0,-9.50,2,DOI: 10.1002/anie.200900933
277,Jorgensen/Hayashi-iminium ion,0,0,0,-8.20,3,DOI: 10.1002/anie.200802889
278,jul Meldrum's acid,0,0,0,-13.97,3,DOI: 10.1021/jo702590s
279,jul(S)BBS,0,0,0,-11.89,3,DOI: 10.1021/jo071273g
280,jul(t-Bu)2QM,0,0,0,-17.90,4,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
281,"jul-indan-1,3-dione",0,0,0,-14.68,3,DOI: 10.1039/b708025e
282,julBBS,0,0,0,-13.84,3,DOI: 10.1021/jo071273g
283,MacMillan-iminium ion (1st generation),MeCN,0,0,-7.37,3,DOI: 10.1002/anie.201103683
284,MacMillan-iminium ion (2nd generation),MeCN,0,0,-5.52,3,DOI: 10.1002/anie.201103683
285,MacMillan-iminium ion (spiro),MeCN,0,0,-7.67,3,DOI: 10.1002/anie.201103683
286,maleic anhydride,DMSO,0,0,-11.31,3,DOI: 10.1002/ejoc.201301779
287,Me2N+=CH-CH-Ph,0,0,0,-9.20,3,DOI: 10.1002/anie.200802889
288,methoxy-(4-methoxyphenyl)methylium ion,0,0,0,0.14,3,DOI: 10.1021/ar020094c
289,methoxy-(4-methylphenyl)methylium ion,0,0,0,1.90,3,DOI: 10.1021/ar020094c
290,methoxy-phenylmethylium ion,0,0,0,2.97,3,DOI: 10.1021/ar020094c
291,methyl diazoacetate,0,0,0,-18.50,3,DOI: 10.1002/chem.202201376
292,methyl prop-2-enoate (in DMSO),DMSO,0,0,-18.84,3,DOI: 10.1021/jacs.7b05106
293,methyl(phenyl)methyleneammonium ion,0,0,0,-5.17,1,DOI: 10.1021/ar020094c
294,mor iminium,0,0,0,-8.60,3,DOI: 10.1002/anie.200802889
295,"N,N-dimethylprop-2-enamide (in DMSO)",DMSO,0,0,-23.54,3,DOI: 10.1021/jacs.7b05106
296,N-(difluoromethyl)thio)phthalimide,0,0,0,-11.86,3,DOI: 10.1002/anie.201805859
297,N-(phenylsulfonyl)-N-((trifluoromethyl)thio)benzenesulfonamide,0,0,0,-6.06,3,DOI: 10.1002/anie.201805859
298,N-(trifluoromethyl)thio)phthalimide,0,0,0,-11.92,3,DOI: 10.1002/anie.201805859
299,N-(trifluoromethyl)thio)saccharin,0,0,0,-6.48,3,DOI: 10.1002/anie.201805859
300,N-(trifluoromethyl)thio)succinimide,0,0,0,-12.56,3,DOI: 10.1002/anie.201805859
301,N-ethylidenecarbazolium ion,0,0,0,2.41,3,DOI: 10.1021/ar020094c
302,"N-fluoro-2,4,6-trimethylpyridinium tetrafluoroborate",0,0,0,-10.46,3,DOI: 10.1021/jacs.8b07147
303,"N-fluoro-2,6-dichloropyridinium tetrafluoroborate",0,0,0,-5.29,3,DOI: 10.1021/jacs.8b07147
304,N-fluoropyridinium tetrafluoroborate,0,0,0,-9.89,3,DOI: 10.1021/jacs.8b07147
305,N-methyl maleimide,DMSO,0,0,-14.07,3,DOI: 10.1002/ejoc.201301779
306,N-methyl-N-((trifluoromethyl)thio)-aniline,0,0,0,-23.32,1,DOI: 10.1002/anie.201805859
307,N-methyl-N-((trifluoromethyl)thio)-p-toluenesulfonamide,0,0,0,-13.44,3,DOI: 10.1002/anie.201805859
308,N-methylacridinium ion,0,0,0,-7.15,3,DOI: 10.1021/ar020094c
309,NFSI,MeCN,0,0,-8.44,3,DOI: 10.1021/jacs.8b07147
310,o-chloranil (C-Cl),0,0,0,-12.02,3,DOI: 10.1021/ja505613b
311,o-chloranil (C=O),0,0,0,-8.77,3,DOI: 10.1021/ja505613b
312,oxan-4-one (in DMSO),DMSO,0,0,-17.90,1,DOI: 10.1021/jacs.8b01657
313,p-(dimethylamino)benzylidene Meldrum's acid,0,0,0,-12.76,3,DOI: 10.1021/jo702590s
314,p-(dimethylamino)benzylidenemalononitrile,0,0,0,-13.30,3,DOI: 10.1021/jo0344182
315,p-(methoxy)benzylidene Meldrum's acid,0,0,0,-10.28,3,DOI: 10.1021/jo702590s
316,p-(methoxy)benzylidenemalononitrile,0,0,0,-10.80,3,DOI: 10.1021/jo0344182
317,p-AniCH=N+Me2 (in MeCN),MeCN,0,0,-10.69,3,DOI: 10.1021/ja401106x
318,p-CF3-C6H4-CH=N+Me2 (in MeCN),MeCN,0,0,-8.34,3,DOI: 10.1021/ja401106x
319,p-chloranil (C-Cl),0,0,0,-13.84,3,DOI: 10.1021/ja505613b
320,p-chloranil (C=O),0,0,0,-12.13,3,DOI: 10.1021/ja505613b
321,p-fluoranil (C-F),0,0,0,-11.12,3,DOI: 10.1021/ja505613b
322,p-fluoranil (C=O),0,0,0,-9.37,3,DOI: 10.1021/ja505613b
323,p-nitro-cinnamaldehyde (in DMSO),DMSO,0,0,0,1,DOI: 10.1021/ja200820m
324,p-nitrophenyl isothiocyanate,DMSO,0,0,-15.89,3,DOI: 10.1021/jacs.0c01960
325,p-quinone (C-H),0,0,0,-16.19,2,DOI: 10.1021/ja505613b
326,p-tosyl isocyanate,MeCN,0,0,-7.69,3,DOI: 10.1021/jacs.0c01960
327,Pd-allyl cation,,0,0,-10.11,3,DOI: 10.1021/ar020094c
328,pentan-2-one (in DMSO),DMSO,0,0,-22.30,1,DOI: 10.1021/jacs.8b01657
329,pfp(Ph)CH+,0,0,0,5.20,5,DOI: 10.1021/ja306522b
330,PhCH=N+(CH2)4 (in MeCN),MeCN,0,0,-9.35,3,DOI: 10.1021/ja401106x
331,PhCH=N+(CH2)5 (in MeCN),MeCN,0,0,-9.60,3,DOI: 10.1021/ja401106x
332,PhCH=N+Me2 (in MeCN),MeCN,0,0,-9.27,3,DOI: 10.1021/ja401106x
333,phenyl isocyanate,MeCN,0,0,-15.38,3,DOI: 10.1021/jacs.0c01960
334,phenyl isothiocyanate,DMSO,0,0,-18.15,3,DOI: 10.1021/jacs.0c01960
335,pipN+=CH-CH-Ph,0,0,0,-10.30,1,DOI: 10.1002/anie.200802889
336,pop(Ph)CH+,0,0,0,2.90,5,DOI: 10.1021/ja010890y
337,pop(tol)CH+,0,0,0,2.16,3,DOI: 10.1021/ar020094c
338,propyn-1-ylium-Co2(CO)6,,0,0,-0.84,3,DOI: 10.1021/ar020094c
339,pTolCH=N+CH2 (in MeCN),MeCN,0,0,-9.64,3,DOI: 10.1021/ja401106x
340,pyrN+=CH-CH-Ph,0,0,0,-9.80,3,DOI: 10.1002/anie.200802889
341,Selectfluor,0,0,0,-5.20,3,DOI: 10.1021/jacs.8b07147
342,tert-butyl prop-2-enoate (in DMSO),DMSO,0,0,-20.22,3,DOI: 10.1021/jacs.7b05106
343,thian-4-one (in DMSO),DMSO,0,0,-16.90,1,DOI: 10.1021/jacs.8b01657
344,tol(Ph)CH+,0,0,0,4.43,5,DOI: 10.1021/ja306522b
345,tol(t-Bu)2QM,0,0,0,-15.83,4,DOI: 10.1002/1521-3773(20020104)41:1<91::AID-ANIE91>3.0.CO;2-P
346,tritylium ion (Ph3C+),0,0,0,0.51,1,DOI: 10.1021/ja021010y
347,tropylium ion,0,0,0,-3.72,3,DOI: 10.1021/ar020094c
348,Vilsmeier ion,0,0,0,-5.77,1,DOI: 10.1021/ar020094c
349,"[(1,3-Diarylallyl)Pd(PPh3)2]+ (Aryl = 3,5-difluorophenyl)",,0,0,-14.21,3,DOI: 10.1021/om3000357
350,"[(1,3-Diarylallyl)Pd(PPh3)2]+ (Aryl = 4-(dimethylamino)phenyl)",,0,0,-14.46,3,DOI: 10.1021/om3000357
351,"[(1,3-Diarylallyl)Pd(PPh3)2]+ (Aryl = Ph)",,0,0,-14.14,3,DOI: 10.1021/om3000357
