,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
209,1-(trimethylsiloxy)cyclohexene,dichloromethane,5.21,1.00,0,5,DOI: 10.1021/ja010890y
210,1-(trimethylsiloxy)cyclooctene,dichloromethane,6.77,1.00,0,1,DOI: 10.1021/ar020094c
211,1-(trimethylsiloxy)cyclopentene,dichloromethane,6.57,0.93,0,5,DOI: 10.1021/ja010890y
212,1-(trimethylsiloxy)cyclopentene (in MeCN),MeCN,6.43,0.89,0,3,DOI: 10.1002/asia.201101046
213,1-(trimethylsilyl)-imidazole (in MeCN),MeCN,11.43,0.79,0,3,DOI: 10.1039/c000965b
214,1-(triphenylsiloxy)cyclopentene,dichloromethane,5.76,1.02,0,4,DOI: 10.1002/ejoc.200400706
215,1-(tris(pentafluorophenyl)siloxy)-cyclopentene,dichloromethane,1.38,0.93,0,1,DOI: 10.1002/ejoc.200400706
216,1-(tris(trimethylsilyl)siloxy)cyclohexene,dichloromethane,5.07,0.91,0,3,DOI: 10.1021/ol102220e
217,1-aminopropan-2-ol (in DMSO),DMSO,15.47,0.65,0,3,DOI: 10.1021/ja903207b
218,"1-benzyl-2-phenyl-4,5-dihydro-1H-imidazole (in CH2Cl2)",dichloromethane,13.11,0.83,0,3,DOI: 10.1002/ejoc.201300213
219,1-butoxy-1-(t-butyl-dimethylsiloxy)ethene,dichloromethane,10.32,0.79,0,4,DOI: 10.1002/ejoc.200400134
220,1-butoxy-1-(trimethylsiloxy)ethene,dichloromethane,10.21,0.82,0,4,DOI: 10.1002/ejoc.200400134
221,1-ethinylcyclohexenyl-Co2(CO)6,dichloromethane,-0.44,1.06,0,3,DOI: 10.1021/ja010890y
222,"1-ethoxy-2-methyl-1,3-dioxobutan-2-ide (in DMSO)",DMSO,19.58,0.73,0,3,DOI: 10.1002/ejoc.201501107
223,"1-ethoxy-3-(4-nitrophenyl)-1,3-dioxopropan-2-ide (in DMSO)",DMSO,16.26,0.83,0,3,DOI: 10.1021/jacs.8b07147
224,1-hexene,dichloromethane,-2.77,1.41,0,5,DOI: 10.1021/ja306522b
225,1-methoxy-2-methyl-1-(trimethylsiloxy)propene,dichloromethane,9.00,0.98,0,5,DOI: 10.1021/ja010890y
226,1-methoxy-2-methyl-1-(trimethylsiloxy)propene (in MeCN),MeCN,9.11,0.88,0,3,DOI: 10.1021/ja401106x
227,1-methyl uracil anion (in DMSO),DMSO,16.36,0.69,0,3,DOI: 10.1002/chem.201102411
228,1-methyl uracil anion (in water),water,8.54,0.77,0,3,DOI: 10.1002/chem.201102411
229,"1-methyl-2,3,4,6,7,8-hexahydro-1H-pyrimido[1,2-a]pyrimidine (MeTBD)",dichloromethane,14.43,0.81,0,3,DOI: 10.1002/cctc.201200143
230,1-methyl-2-phenylpyrrolidine (in CH2Cl2),dichloromethane,16.80,0.49,0,3,DOI: 10.1002/poc.3580
231,1-methyl-2-phenylpyrrolidine (in MeCN),MeCN,15.70,0.54,0,3,DOI: 10.1002/poc.3580
232,1-methyl-4-(N-morpholino)tetrahydropyridine,dichloromethane,12.03,0.80,0,1,DOI: 10.1002/chem.200204666
233,1-methyl-4-vinyl-benzene,dichloromethane,1.70,1.06,0,5,DOI: 10.1021/ja010890y
234,1-methyl-benzimidazole (in MeCN),MeCN,10.37,0.82,0,3,DOI: 10.1039/c000965b
235,1-methyl-benzotriazole (in MeCN),MeCN,7.77,0.76,0,1,DOI: 10.1039/c000965b
236,1-methyl-imidazole (in MeCN),MeCN,11.90,0.73,0,3,DOI: 10.1039/c000965b
237,1-methyl-imidazole (in water),water,9.91,0.55,0,3,DOI: 10.1039/c000965b
238,1-methylcyclohexene,dichloromethane,0.08,1.15,0,5,DOI: 10.1021/ja010890y
239,1-methylcyclopentene,dichloromethane,1.18,1.17,0,5,DOI: 10.1021/ja306522b
240,1-methylsiletane,dichloromethane,2.30,0.75,0,1,DOI: 10.1002/chem.201202839
241,1-methylsilolane,dichloromethane,2.20,0.75,0,1,DOI: 10.1002/chem.201202839
242,1-phenoxy-1-(trimethylsiloxy)ethene,dichloromethane,8.23,0.81,0,5,DOI: 10.1021/ja010890y
243,1-phenyl-1-(trimethylsiloxy)ethene,dichloromethane,6.22,0.96,0,5,DOI: 10.1021/ja010890y
244,1-phenyl-imidazole (in MeCN),MeCN,11.31,0.67,0,3,DOI: 10.1039/c000965b
245,1-phenyl-N-(phenylmethyl)methanimine (in CH2Cl2),dichloromethane,7.90,0.76,0,2,DOI: 10.5560/ZNB.2013-3085
246,"1-pyrrolidino-3,4-dihydronaphthalene (in MeCN)",MeCN,14.09,0.66,0,3,DOI: 10.1055/s-0037-1611634
247,10% ethanol/90% MeCN (v/v),EtOH-MeCN mix,5.19,0.96,0,3,DOI: 10.1021/ja031828z
248,10% methanol/90% MeCN (v/v),MeOH-MeCN mix,5.55,0.97,0,3,DOI: 10.1021/ja031828z
249,10% water/90% acetone (v/v),water-acetone mix,5.70,0.85,0,3,DOI: 10.1002/anie.200353468
250,10% water/90% HFIP (w/w),water-HFIP mix,0.96,0.93,0,3,DOI: 10.1002/poc.3064
251,10% water/90% MeCN (v/v),water-MeCN mix,4.56,0.94,0,3,DOI: 10.1021/ja031828z
252,10% water/90%EtOH (v/v),water-EtOH mix,7.03,0.86,0,3,DOI: 10.1021/ja031828z
253,10% water/90%TFE (v/v),water-TFE mix,2.93,0.88,0,3,DOI: 10.1021/ja031828z
254,"10-methyl-9,10-dihydroacridine",dichloromethane,5.54,0.90,0,1,DOI: 10.1002/chem.201202839
255,"10-methyl-9,10-dihydroacridine (in MeCN)",MeCN,4.00,0.70,0,1,DOI: 10.1002/chem.201202839
256,1H-indole-5-carboxylic acid,MeCN,3.97,1.10,0,1,DOI: 10.1021/jo0614339
257,2% water/98% HFIP (w/w),water-HFIP mix,-1.62,1.10,0,3,DOI: 10.1002/poc.3064
258,"2,2,2-trifluoroethanolate (in water)",water,12.66,0.59,0,3,DOI: 10.1021/ja021010y
259,"2,2,2-trifluoroethylamine (in 91M9AN)",MeOH-MeCN mix,10.20,0.92,0,3,DOI: 10.1002/anie.200600542
260,"2,2,2-trifluoroethylamine (in DMSO)",DMSO,12.15,0.65,0,3,DOI: 10.1021/ja021010y
261,"2,2,2-trifluoroethylamine (in MeCN)",MeCN,10.13,0.75,0,3,DOI: 10.1002/ejoc.200900925
262,"2,2-dimethyl-5-(4-nitrobenzyl)-4,6-dioxo-1,3-dioxan-5-ide (in DMSO)",DMSO,12.02,1.17,0,3,DOI: 10.1002/chem.201403161
263,"2,2-dimethylpyrrolidine",MeCN,13.96,0.76,0,3,DOI: 10.1021/jacs.9b11877
264,"2,3,3-trimethyl-but-1-ene",dichloromethane,0.06,1.07,0,5,DOI: 10.1021/ja306522b
265,"2,3,4,6,7,8-hexahydro-1H-pyrimido[1,2-a]pyrimidine",dichloromethane,16.16,0.75,0,3,DOI: 10.1002/cctc.201200143
266,"2,3,4,6,7,8-hexahydropyrimido[2,1-b][1,3]thiazine",dichloromethane,14.10,0.82,0,3,DOI: 10.1021/jo200803x
267,"2,3,5,6-tetrahydro-1H-imidazo[1,2-a]imidazole (TBO)",dichloromethane,14.44,0.79,0,3,DOI: 10.1002/cctc.201200143
268,"2,3,5,6-tetrahydroimidazo[2,1-b]thiazole",dichloromethane,12.98,0.81,0,3,DOI: 10.1021/jo200803x
269,"2,3-dihydrobenzo[d]imidazo[2,1-b]thiazole",dichloromethane,13.42,0.73,0,3,DOI: 10.1021/jo200803x
270,"2,3-dihydrofuran",dichloromethane,4.37,0.90,0,4,DOI: 10.1002/ejoc.200400706
271,"2,3-dimethyl-but-1-ene",dichloromethane,0.65,1.00,0,5,DOI: 10.1021/ja306522b
272,"2,3-dimethyl-buta-1,3-diene",dichloromethane,1.17,1.00,0,1,DOI: 10.1021/ar020094c
273,"2,4,4-trimethyl-pent-1-ene",dichloromethane,0.79,1.07,0,5,DOI: 10.1021/ja306522b
274,"2,4,5-trimethyl-1,3-dioxolane (anti)",dichloromethane,-3.00,0.80,0,1,DOI: 10.1002/chem.201202839
275,"2,4,5-trimethyl-1,3-dioxolane (syn)",dichloromethane,-2.50,0.80,0,1,DOI: 10.1002/chem.201202839
276,"2,4,6-trimethylstyrene",dichloromethane,0.68,1.09,0,3,DOI: 10.1021/ma048389o
277,"2,4-dimethyl-imidazole (in MeCN)",MeCN,11.51,0.84,0,3,DOI: 10.1039/c000965b
278,"2,4-dimethyl-imidazole anion (in DMSO)",DMSO,20.69,0.60,0,3,DOI: 10.1002/chem.201102411
279,"2,4-dimethyl-penta-1,4-diene",dichloromethane,0.54,1.00,0,1,DOI: 10.1021/ar020094c
280,"2,4-dimethylpyrrole",MeCN,10.67,0.91,0,3,DOI: 10.1002/ejoc.200800092
281,"2,5-dimethyl-benzimidazole (in DMSO)",DMSO,10.21,0.85,0,3,DOI: 10.1039/c000965b
282,"2,5-dimethyl-hexa-1,5-diene",dichloromethane,1.14,1.00,0,1,DOI: 10.1021/ar020094c
283,"2,5-dimethylindole",MeCN,7.22,1.10,0,1,DOI: 10.1021/jo0614339
284,"2,5-dimethylpyrrole",MeCN,8.01,0.96,0,3,DOI: 10.1002/ejoc.200800092
285,"2,6-dimethyl-hepta-1,6-diene",dichloromethane,1.69,1.00,0,1,DOI: 10.1021/ar020094c
286,"2,6-dimethylphenyl isocyanide",dichloromethane,4.59,0.87,0,3,DOI: 10.1002/anie.200605205
287,"2,7-dimethylocta-1,7-diene",dichloromethane,1.58,1.00,0,1,DOI: 10.1021/ar020094c
288,"2-((2,2,5,5-tetramethyl-1-(prop-1-en-1-yl)-2,5-dihydro-1H-imidazol-4-yl)thio)acetonitrile (in MeCN)",MeCN,9.25,0.84,0,3,DOI: 10.1039/d3cc01912h
289,"2-((2,2,5,5-tetramethyl-1-styryl-2,5-dihydro-1H-imidazol-4-yl)thio)acetonitrile (in CH2Cl2)",dichloromethane,7.06,1.11,0,3,DOI: 10.1039/d3cc01912h
290,"2-((2,2,5,5-tetramethyl-1-styryl-2,5-dihydro-1H-imidazol-4-yl)thio)acetonitrile (in MeCN)",MeCN,7.74,0.87,0,3,DOI: 10.1039/d3cc01912h
291,"2-(3-chlorophenyl)-1,3-dimethyl-benzimidazoline (in MeCN)",MeCN,9.38,0.71,0,1,DOI: 10.1002/chem.201202839
292,2-(3-Cl-C6H4)CH(-)CO2Et (in DMSO),DMSO,27.57,0.53,0,3,DOI: 10.1002/ejoc.201300265
293,"2-(4-(trifluoromethyl)phenyl)-1,3-dimethyl-benzimidazoline (in MeCN)",MeCN,8.74,0.71,0,1,DOI: 10.1002/chem.201202839
294,2-(4-Br-C6H4)CH(-)CO2Et (in DMSO),DMSO,27.62,0.53,0,3,DOI: 10.1002/ejoc.201300265
295,2-(4-CN-C6H4)CH(-)CO2Et (in DMSO),DMSO,23.64,0.65,0,3,DOI: 10.1002/ejoc.201300265
296,"2-(4-nitrophenyl)-1,3-dimethyl-benzimidazoline (in MeCN)",MeCN,8.36,0.71,0,1,DOI: 10.1002/chem.201202839
297,2-(4-NO2-C6H4)CH(-)CO2Et (in DMSO),DMSO,20.00,0.71,0,3,DOI: 10.1002/ejoc.201300265
298,2-(benzylideneamino)-1-ethoxy-1-oxopropan-2-ide (in DMSO),DMSO,30.82,0.41,0,2,DOI: 10.1016/j.tet.2018.11.075
299,2-(bis(tert-butyldimethylsiloxy)amino)propene,dichloromethane,4.23,0.93,0,3,DOI: 10.1021/jo0015927
300,2-(bis(trimethylsiloxy)amino)propene,dichloromethane,4.76,0.86,0,3,DOI: 10.1021/jo0015927
301,2-(diethylamino)-2-oxo-1-(pyridin-1-ium-1-yl)ethan-1-ide (in DMSO),DMSO,27.45,0.38,0,3,DOI: 10.1021/ja407885h
302,2-(naphthylmethyl)quinuclidine (in MeCN),MeCN,15.66,0.62,0,3,DOI: 10.1021/jo901670w
303,"2-(p-anisyl)-1,3-dimethyl-benzimidazoline",MeCN,10.01,0.72,0,3,DOI: 10.1002/asia.200900322
304,"2-(p-tolyl)-1,3-dimethyl-benzimidazoline",MeCN,10.14,0.70,0,3,DOI: 10.1002/asia.200900322
305,2-(pentamethyldisilyl)propene,dichloromethane,-0.26,0.95,0,3,DOI: 10.1002/chem.201303215
306,2-(pyrid-4-yl)CH(-)CO2Et (in DMSO),DMSO,23.27,0.70,0,3,DOI: 10.1002/ejoc.201300265
307,2-(tert-butoxy)-1-((diphenylmethylene)amino)-2-oxoethan-1-ide (in DMSO),DMSO,27.77,0.47,0,3,DOI: 10.1016/j.tet.2018.11.075
308,2-(tert.butyldimethylsiloxy)propene,dichloromethane,5.58,0.90,0,1,DOI: 10.1021/ar020094c
309,2-(tributylsilyl)furan,dichloromethane,2.37,1.10,0,1,DOI: 10.1021/ar020094c
310,2-(tributylstannyl)furan,dichloromethane,3.63,1.10,0,1,DOI: 10.1021/ar020094c
311,2-(tributylstannyl)thiophene,dichloromethane,1.53,1.00,0,1,DOI: 10.1021/ar020094c
312,2-(triethylsilyl)furan,dichloromethane,2.20,1.10,0,1,DOI: 10.1021/ar020094c
313,2-(trifluoromethyl)pyrrolidine,MeCN,11.34,0.73,0,3,DOI: 10.1021/jacs.9b11877
314,2-(triisopropylsiloxy)propene,dichloromethane,5.38,0.85,0,2,DOI: 10.1021/ja010890y
315,"2-(trimethylsiloxy)-5,6-dihydro-4H-pyran",dichloromethane,10.61,0.86,0,5,DOI: 10.1021/ja010890y
316,"2-(trimethylsiloxy)-5,6-dihydro-4H-pyran (in MeCN)",MeCN,10.52,0.78,0,3,DOI: 10.1021/ja401106x
317,"2-(trimethylsiloxy)buta-1,3-diene",dichloromethane,4.83,0.90,0,1,DOI: 10.1021/ar020094c
318,2-(trimethylsiloxy)furan,dichloromethane,7.22,1.00,0,1,DOI: 10.1021/ar020094c
319,2-(trimethylsiloxy)propene,dichloromethane,5.41,0.91,0,5,DOI: 10.1021/ja010890y
320,2-(trimethylsilyl)furan,dichloromethane,2.16,1.10,0,1,DOI: 10.1021/ar020094c
321,2-(trimethylsilyl)propene,dichloromethane,-1.46,1.05,0,3,DOI: 10.1002/chem.201303215
322,2-(trimethylsilyl)thiophene,dichloromethane,-0.80,1.00,0,1,DOI: 10.1021/ar020094c
323,2-(triphenylsiloxy)propene,dichloromethane,4.46,0.90,0,1,DOI: 10.1021/ar020094c
324,2-(triphenylsilyl)pyrrolidine,MeCN,14.00,0.84,0,3,DOI: 10.1021/jacs.9b11877
325,2-(tris(pentafluorophenyl)siloxy)-propene,dichloromethane,0.58,0.91,0,1,DOI: 10.1002/ejoc.200400706
326,2-(tris(trimethylsilyl)siloxy)propene,dichloromethane,6.04,0.82,0,3,DOI: 10.1021/ol102220e
327,2-(tris(trimethylsilyl)silyl)propene,dichloromethane,-0.31,0.99,0,3,DOI: 10.1002/chem.201303215
328,2-Ac super-dmap (in MeCN),MeCN,15.39,0.60,0,3,DOI: 10.1021/ol1029589
329,2-aminobutan-1-ol (in DMSO),DMSO,14.39,0.67,0,3,DOI: 10.1021/ja903207b
330,"2-benzyl-1,1,3,3-tetramethylguanidine",dichloromethane,14.36,0.79,0,3,DOI: 10.1002/cctc.201200143
331,2-benzylpyrrolidine,MeCN,17.43,0.66,0,3,DOI: 10.1021/jacs.9b11877
332,2-Bn super-dmap (in MeCN),MeCN,17.69,0.57,0,3,DOI: 10.1021/ol1029589
333,2-Bz super-dmap (in MeCN),MeCN,14.19,0.67,0,3,DOI: 10.1021/ol1029589
334,"2-chloro-1,3-diethoxy-1,3-dioxopropan-2-ide (in DMSO)",DMSO,18.19,0.74,0,3,DOI: 10.1002/anie.201605616
335,2-chloropropene,dichloromethane,-3.65,1.97,0,5,DOI: 10.1021/ja306522b
336,2-cyclopropylpropene,dichloromethane,2.60,1.00,0,1,DOI: 10.1021/ar020094c
337,2-diazo-1-benzosuberone,dichloromethane,2.72,0.96,0,3,DOI: 10.1002/ejoc.202300005
338,2-diazo-1-tetralone,dichloromethane,3.51,0.86,0,3,DOI: 10.1002/ejoc.202300005
339,2-diazobenzothiophen-3(2H)-one,dichloromethane,0.40,0.93,0,3,DOI: 10.1002/ejoc.202300005
340,2-diazocyclohexanone,dichloromethane,3.44,0.83,0,3,DOI: 10.1002/ejoc.202300005
341,2-diazoindan-1-one,dichloromethane,5.61,0.65,0,3,DOI: 10.1002/ejoc.202300005
342,2-diazoindandione,dichloromethane,0.16,0.86,0,3,DOI: 10.1002/ejoc.202300005
343,2-Et super-dmap (in MeCN),MeCN,16.81,0.60,0,3,DOI: 10.1021/ol1029589
344,2-ethoxy-1-fluoro-2-oxo-1-(phenylsulfonyl)ethan-1-ide (in DMSO),DMSO,20.51,0.64,0,3,DOI: 10.1002/anie.201605616
345,2-ethoxy-1-methoxy-2-oxo-1-(phenylsulfonyl)ethan-1-ide (in DMSO),DMSO,19.15,0.59,0,3,DOI: 10.1002/anie.201605616
346,2-ethoxy-2-oxo-1-(phenylsulfonyl)ethan-1-ide (in DMSO),DMSO,18.81,0.59,0,3,DOI: 10.1002/anie.201605616
347,2-ethoxy-2-oxo-1-(pyridin-1-ium-1-yl)ethan-1-ide (in DMSO),DMSO,26.71,0.37,0,3,DOI: 10.1021/ja407885h
348,"2-ethyl-4,5-dimethyl-1,3-dioxolane (anti)",dichloromethane,-2.90,0.80,0,1,DOI: 10.1002/chem.201202839
349,"2-ethyl-4,5-dimethyl-1,3-dioxolane (syn)",dichloromethane,-2.40,0.80,0,1,DOI: 10.1002/chem.201202839
350,"2-fluoro-2H-benzo[d][1,3]dithiol-2-ide 1,1,3,3-tetraoxide (in DMSO)",DMSO,19.03,0.58,0,3,DOI: 10.1002/anie.201605616
351,2-formyl-imidazole anion (in DMSO),DMSO,16.06,0.68,0,3,DOI: 10.1002/chem.201102411
352,2-formyl-imidazole anion (in water),water,11.07,0.50,0,3,DOI: 10.1002/chem.201102411
353,"2-isopropyl-4,5-dimethyl-1,3-dioxolane (ani)",dichloromethane,-4.10,0.80,0,1,DOI: 10.1002/chem.201202839
354,"2-isopropyl-4,5-dimethyl-1,3-dioxolane (syn)",dichloromethane,-3.50,0.80,0,1,DOI: 10.1002/chem.201202839
355,2-Me super-dmap (in MeCN),MeCN,16.65,0.58,0,3,DOI: 10.1021/ol1029589
356,"2-methoxy-2H-benzo[d][1,3]dithiol-2-ide 1,1,3,3-tetraoxide (in DMSO)",DMSO,17.36,0.71,0,3,DOI: 10.1002/anie.201605616
357,"2-methyl-1,3-dioxolane",dichloromethane,-3.30,0.80,0,1,DOI: 10.1002/chem.201202839
358,"2-methyl-1,4,5,6-tetrahydropyrimidine (in CH2Cl2)",dichloromethane,15.21,0.69,0,3,DOI: 10.1002/ejoc.201300213
359,"2-methyl-1,4,5,6-tetrahydropyrimidine (in DMSO)",DMSO,14.58,0.79,0,3,DOI: 10.1002/ejoc.201300213
360,"2-methyl-1,4,5,6-tetrahydropyrimidine (in MeCN)",MeCN,14.43,0.79,0,3,DOI: 10.1002/ejoc.201300213
361,2-methyl-1-(trimethylsiloxy)propen,dichloromethane,3.94,1.00,0,5,DOI: 10.1021/ja010890y
362,"2-methyl-4,5-dihydro-1,3-oxazole (in CH2Cl2)",dichloromethane,9.81,0.77,0,3,DOI: 10.1002/ejoc.201300213
363,"2-methyl-4,5-dihydro-1H-imidazole (in CH2Cl2)",dichloromethane,12.92,0.77,0,3,DOI: 10.1002/ejoc.201300213
364,"2-methyl-4,5-dihydro-3H-pyrrole (in CH2Cl2)",dichloromethane,13.12,0.69,0,3,DOI: 10.1002/ejoc.201300213
365,"2-methyl-4,5-dihydrothiazole (in CH2Cl2)",dichloromethane,10.20,0.71,0,3,DOI: 10.1002/ejoc.201300213
366,2-methyl-benzimidazole (in DMSO),DMSO,10.02,0.85,0,3,DOI: 10.1039/c000965b
367,2-methyl-but-1-ene,dichloromethane,1.00,1.00,0,1,DOI: 10.1021/ar020094c
368,2-methyl-but-2-ene,dichloromethane,0.65,1.17,0,5,DOI: 10.1021/ja010890y
369,"2-methyl-buta-1,3-diene (isoprene)",dichloromethane,1.10,0.98,0,5,DOI: 10.1021/ja010890y
370,2-methyl-imidazole (in MeCN),MeCN,11.74,0.76,0,3,DOI: 10.1039/c000965b
371,2-methyl-imidazole (in water),water,9.45,0.54,0,3,DOI: 10.1039/c000965b
372,2-methyl-imidazole anion (in DMSO),DMSO,21.03,0.50,0,3,DOI: 10.1002/chem.201102411
373,2-methyl-pent-1-ene,dichloromethane,0.84,1.06,0,5,DOI: 10.1021/ja306522b
374,2-methylfuran,dichloromethane,3.61,1.11,0,5,DOI: 10.1021/ja010890y
375,2-methylindole,MeCN,6.91,1.10,0,1,DOI: 10.1021/jo0614339
376,2-methylpropene (isobutylene),dichloromethane,1.11,0.98,0,5,DOI: 10.1021/ja010890y
377,2-methylpyrrolidine (in MeCN),MeCN,16.78,0.71,0,3,DOI: 10.1021/jacs.9b11877
378,2-methylthiophene,dichloromethane,1.35,0.99,0,5,DOI: 10.1021/ja306522b
379,2-oxo-1-(pyridin-1-ium-1-yl)propan-1-ide (in DMSO),DMSO,20.24,0.60,0,3,DOI: 10.1021/ja407885h
380,2-oxo-2-phenyl-1-(pyridin-1-ium-1-yl)ethan-1-ide (in DMSO),DMSO,19.46,0.58,0,3,DOI: 10.1021/ja407885h
381,2-oxo-2-phenyl-1-(quinolin-1-ium-1-yl)ethan-1-ide (in DMSO),DMSO,19.38,0.50,0,3,DOI: 10.1021/ja407885h
382,2-PhCH(-)CO2Et (in DMSO),DMSO,27.54,0.57,0,3,DOI: 10.1002/ejoc.201300265
383,"2-phenyl-1,3-dimethyl-benzimidazoline",MeCN,9.72,0.72,0,3,DOI: 10.1002/asia.200900322
384,"2-phenyl-1,4,5,6-tetrahydropyrimidine (in CH2Cl2)",dichloromethane,14.62,0.72,0,3,DOI: 10.1002/ejoc.201300213
385,"2-phenyl-4,5-dihydro-1H-imidazole (in CH2Cl2)",dichloromethane,12.31,0.77,0,3,DOI: 10.1002/ejoc.201300213
386,2-phenyl-4-(trimethylsilyl)but-1-en-3-ynyl-Co2(CO)6,dichloromethane,1.33,0.90,0,1,DOI: 10.1021/ar020094c
387,2-phenyl-allyltrimethylsilane,dichloromethane,5.38,0.89,0,3,DOI: 10.1002/chem.201303215
388,2-phenyldioxolane,dichloromethane,-0.90,0.80,0,1,DOI: 10.1002/chem.201202839
389,2-phenylethylamine (in water),water,13.40,0.57,0,3,DOI: 10.1002/cplu.201500246
390,2-phenylperoxyacetate (in H2O),water,15.63,0.56,0,3,DOI: 10.1002/anie.201707086
391,"2-propyl-1,3-dioxolane",dichloromethane,-1.06,0.81,0,3,DOI: 10.1002/chem.201202839
392,2-pyridone anion (in DMSO),DMSO,19.91,0.60,0,3,DOI: 10.1021/ja106962u
393,2-pyridone anion (in MeCN),MeCN,20.11,0.57,0,3,DOI: 10.1021/ja106962u
394,2-pyridone anion (in water),water,12.47,0.52,0,3,DOI: 10.1021/ja106962u
395,2-sulfidoacetate (in water),water,22.62,0.43,0,3,DOI: 10.1021/ja021010y
396,2-thiobarbiturate anion (in DMSO),DMSO,14.24,0.82,0,3,DOI: 10.1021/acs.joc.7b01223
397,2-tritylpyrrolidine,MeCN,9.16,1.39,0,3,DOI: 10.1021/jacs.9b11877
398,20% ethanol/80% MeCN (v/v),EtOH-MeCN mix,5.77,0.92,0,3,DOI: 10.1021/ja031828z
399,20% methanol/80% MeCN (v/v),MeOH-MeCN mix,6.04,0.94,0,3,DOI: 10.1021/ja031828z
400,20% water/80% acetone (v/v),water-acetone mix,5.77,0.87,0,3,DOI: 10.1002/anie.200353468
401,20% water/80% MeCN (v/v),water-MeCN mix,5.02,0.89,0,3,DOI: 10.1021/ja031828z
402,20% water/80%EtOH (v/v),water-EtOH mix,6.68,0.85,0,3,DOI: 10.1021/ja031828z
403,20% water/80%TFE (v/v),water-TFE mix,3.20,0.88,0,3,DOI: 10.1021/ja031828z
404,"2H-benzo[d][1,3]dithiol-2-ide 1,1,3,3-tetraoxide (in DMSO)",DMSO,16.06,0.69,0,3,DOI: 10.1002/anie.201605616
405,3% water/97% HFIP (w/w),water-HFIP mix,-1.19,1.08,0,3,DOI: 10.1002/poc.3064
406,"3,3,3-trifluoro-2-(trimethylsiloxy)propene",dichloromethane,-2.94,1.11,0,3,DOI: 10.1021/ol301766w
407,"3,3-dimethyl-2-(trimethylsiloxy)buten",dichloromethane,3.78,0.79,0,2,DOI: 10.1021/ja010890y
408,"3,5,6,7-tetrahydro-2H-imidazo[2,1-b][1,3]thiazine",dichloromethane,13.00,0.83,0,3,DOI: 10.1021/jo200803x
409,"3,5-bis(trifluoromethyl)thiophenolate (in DMSO)",DMSO,19.71,0.86,0,3,DOI: 10.1021/acs.joc.1c00025
410,"3,5-dichloroperoxybenzoate (in H2O)",water,17.93,0.50,0,3,DOI: 10.1002/anie.201707086
411,"3,5-dinitrobenzoate (in acetone)",acetone,18.80,0.62,0,2,DOI: 10.1021/ja0765464
412,"3,5-dinitrobenzoate (in MeCN)",MeCN,14.90,0.71,0,2,DOI: 10.1021/ja0765464
413,"3-(2,6-dimethoxyphenyl)-1-methyl-1H-imidazol-3-ium-2-ide (in THF)",THF,23.00,0.46,0,3,DOI: 10.1021/acs.orglett.6b01525
414,3-(4-methoxyphenyl)-1-methyl-1H-imidazol-3-ium-2-ide (in THF),THF,20.41,0.46,0,3,DOI: 10.1021/acs.orglett.6b01525
415,3-(tert-butyl)-1-methyl-1H-imidazol-3-ium-2-ide (in THF),THF,16.54,0.47,0,3,DOI: 10.1021/acs.orglett.6b01525
416,3-(trifluoromethyl)thiophenolate (in DMSO),DMSO,21.75,0.86,0,3,DOI: 10.1021/acs.joc.1c00025
417,3-(trihexylsilyl)cyclopentene,dichloromethane,1.98,1.10,0,1,DOI: 10.1021/ar020094c
418,3-(trimethylsiloxy)-1H-indene (in MeCN),MeCN,7.32,0.82,0,3,DOI: 10.1055/s-0037-1611634
419,3-(trimethylsilyl)cyclopentene,dichloromethane,1.77,1.10,0,1,DOI: 10.1021/ar020094c
420,3-acetyl-2-oxotetrahydro-2H-pyran-3-ide (in DMSO),DMSO,17.00,0.74,0,3,DOI: 10.1002/ejoc.201501107
421,3-bromo-4-(dimethylamino)pyridine (in MeCN),MeCN,12.96,0.67,0,3,DOI: 10.1021/jp3049247
422,3-chloro-4-methoxyperoxybenzoate (in H2O),water,18.56,0.48,0,3,DOI: 10.1002/anie.201707086
423,3-chloroperoxybenzoate (in H2O),water,18.19,0.47,0,3,DOI: 10.1002/anie.201707086
424,3-chlorothiophenolate (in DMSO),DMSO,22.50,0.78,0,3,DOI: 10.1021/acs.joc.1c00025
425,3-diazoindolin-2-one,dichloromethane,3.16,1.03,0,3,DOI: 10.1002/ejoc.202300005
426,"3-ethyl-2,4-dimethylpyrrole",MeCN,11.63,0.95,0,3,DOI: 10.1002/ejoc.200800092
427,3-mesityl-1-methyl-1H-imidazol-3-ium-2-ide (in THF),THF,21.50,0.45,0,3,DOI: 10.1021/acs.orglett.6b01525
428,3-methoxythiophene,MeCN,3.06,1.19,0,3,DOI: 10.1021/ja4017655
429,"3-methyl-1,4-pentadiene",dichloromethane,-3.08,0.97,0,1,DOI: 10.1021/ja0121538
430,"3-methyl-2,4-dioxotetrahydro-2H-pyran-3-ide (in DMSO)",DMSO,14.46,0.91,0,3,DOI: 10.1002/ejoc.201501107
431,3-methyl-2-(trimethylsiloxy)but-1-ene,dichloromethane,5.41,0.90,0,1,DOI: 10.1021/ar020094c
432,3-methylanisole,dichloromethane,0.13,1.27,0,3,DOI: 10.1021/ja010890y
433,3-methylpyridine (in CH2Cl2),dichloromethane,10.90,0.93,0,3,DOI: 10.1002/poc.3580
434,3-methylpyridine (in MeCN),MeCN,11.50,0.80,0,3,DOI: 10.1002/poc.3580
